🔬 Force-Directed Thermal Diffusion with Optimized Parameters
==============================================================
🎯 Deep geological time: 1 million years of thermal evolution
   Realistic foundry heat: 1800K foundry with gradient to 1523K melting point
   Foundry layers (0-20km): 1800K-1523K (realistic asthenosphere heat)
   Surface radiation: Stefan-Boltzmann T^4 radiation to space (top layers only)
📊 Initial Setup:
   60 thermal nodes
   🔥 HEAT SOURCE: Core heat input at bottom layer
   ❄️  HEAT SINK: Space radiation cooling at top layer
📊 Initial Setup:
   60 thermal nodes (doubled depth to 200km)
   🔥 HEAT SOURCE: Core heat engine (8 layers, 0-40km)
   ❄️  HEAT SINK: Space cooling sink (8 layers, 160-200km)
   ⚡ EXPONENTIAL DIFFUSION: 2 neighbors each side with falloff

🌡️  Initial Temperature Profile (REALISTIC GEOLOGICAL HEAT):
   Foundry layers (0-20km): 1800K → 1523K (realistic asthenosphere)
   Lithosphere (20-160km): Variable geothermal gradient
   Surface layers (160-300km): 400K → 80K (natural cooling + T^4 radiation)

🌡️  Running scientifically calibrated thermal equilibration...
   Step 0: Range=1935.2K, Surface=1800.0K, Core=200.0K, Boundary=(1835.7K,1842.9K)
   Step 100: Range=1909.6K, Surface=1800.0K, Core=202.7K, Boundary=(1835.5K,1842.8K)
   Step 200: Range=1893.6K, Surface=1800.0K, Core=208.9K, Boundary=(1834.1K,1842.2K)
   Step 300: Range=1878.7K, Surface=1800.0K, Core=216.8K, Boundary=(1831.3K,1840.8K)
   Step 400: Range=1863.8K, Surface=1800.0K, Core=225.4K, Boundary=(1827.3K,1838.5K)
   Step 500: Range=1848.8K, Surface=1800.0K, Core=234.4K, Boundary=(1822.8K,1835.4K)
   Step 600: Range=1834.9K, Surface=1800.0K, Core=243.5K, Boundary=(1818.0K,1832.0K)
   Step 700: Range=1820.7K, Surface=1800.0K, Core=252.8K, Boundary=(1813.4K,1828.4K)
   Step 800: Range=1807.2K, Surface=1800.0K, Core=262.1K, Boundary=(1808.9K,1824.7K)
   Step 900: Range=1793.5K, Surface=1800.0K, Core=271.4K, Boundary=(1804.5K,1821.0K)
   Step 1000: Range=1780.5K, Surface=1800.0K, Core=280.7K, Boundary=(1800.3K,1817.4K)
   Step 1100: Range=1767.2K, Surface=1800.0K, Core=290.0K, Boundary=(1796.2K,1813.9K)
   Step 1200: Range=1754.4K, Surface=1800.0K, Core=299.4K, Boundary=(1792.3K,1810.4K)
   Step 1300: Range=1741.6K, Surface=1800.0K, Core=308.7K, Boundary=(1788.4K,1807.0K)
   Step 1400: Range=1728.8K, Surface=1800.0K, Core=318.1K, Boundary=(1784.8K,1803.7K)
   Step 1500: Range=1716.4K, Surface=1800.0K, Core=327.5K, Boundary=(1781.2K,1800.4K)
   Step 1600: Range=1703.9K, Surface=1800.0K, Core=336.8K, Boundary=(1777.8K,1797.3K)
   Step 1700: Range=1691.4K, Surface=1800.0K, Core=346.2K, Boundary=(1774.5K,1794.2K)
   Step 1800: Range=1679.3K, Surface=1800.0K, Core=355.6K, Boundary=(1771.3K,1791.2K)
   Step 1900: Range=1667.1K, Surface=1800.0K, Core=364.9K, Boundary=(1768.2K,1788.3K)
   Step 2000: Range=1654.8K, Surface=1800.0K, Core=374.3K, Boundary=(1765.2K,1785.4K)
   Step 2100: Range=1642.9K, Surface=1800.0K, Core=383.7K, Boundary=(1762.3K,1782.7K)
   Step 2200: Range=1630.9K, Surface=1800.0K, Core=393.0K, Boundary=(1759.6K,1780.0K)
   Step 2300: Range=1618.9K, Surface=1800.0K, Core=402.4K, Boundary=(1757.0K,1777.5K)
   Step 2400: Range=1607.0K, Surface=1800.0K, Core=411.7K, Boundary=(1754.6K,1775.0K)
   Step 2500: Range=1595.2K, Surface=1800.0K, Core=421.1K, Boundary=(1752.3K,1772.7K)
   Step 2600: Range=1583.4K, Surface=1800.0K, Core=430.5K, Boundary=(1750.2K,1770.6K)
   Step 2700: Range=1571.5K, Surface=1800.0K, Core=439.8K, Boundary=(1748.2K,1768.5K)
   Step 2800: Range=1559.9K, Surface=1800.0K, Core=449.2K, Boundary=(1746.4K,1766.6K)
   Step 2900: Range=1548.3K, Surface=1800.0K, Core=458.6K, Boundary=(1744.7K,1764.7K)
   Step 3000: Range=1536.7K, Surface=1800.0K, Core=467.9K, Boundary=(1743.0K,1763.0K)
   Step 3100: Range=1525.0K, Surface=1800.0K, Core=477.3K, Boundary=(1741.5K,1761.3K)
   Step 3200: Range=1513.5K, Surface=1800.0K, Core=486.7K, Boundary=(1740.0K,1759.7K)
   Step 3300: Range=1502.0K, Surface=1800.0K, Core=496.0K, Boundary=(1738.6K,1758.2K)
   Step 3400: Range=1490.5K, Surface=1800.0K, Core=505.4K, Boundary=(1737.2K,1756.7K)
   Step 3500: Range=1478.9K, Surface=1800.0K, Core=514.7K, Boundary=(1735.9K,1755.4K)
   Step 3600: Range=1467.4K, Surface=1800.0K, Core=524.1K, Boundary=(1734.7K,1754.0K)
   Step 3700: Range=1456.1K, Surface=1800.0K, Core=533.5K, Boundary=(1733.5K,1752.7K)
   Step 3800: Range=1444.7K, Surface=1800.0K, Core=542.8K, Boundary=(1732.4K,1751.5K)
   Step 3900: Range=1433.2K, Surface=1800.0K, Core=552.2K, Boundary=(1731.3K,1750.3K)
   Step 4000: Range=1421.8K, Surface=1800.0K, Core=561.5K, Boundary=(1730.2K,1749.1K)
   Step 4100: Range=1410.3K, Surface=1800.0K, Core=570.9K, Boundary=(1729.2K,1748.0K)
   Step 4200: Range=1399.1K, Surface=1800.0K, Core=580.2K, Boundary=(1728.2K,1746.9K)
   Step 4300: Range=1387.7K, Surface=1800.0K, Core=589.6K, Boundary=(1727.3K,1745.9K)
   Step 4400: Range=1376.4K, Surface=1800.0K, Core=598.9K, Boundary=(1726.3K,1744.9K)
   Step 4500: Range=1365.0K, Surface=1800.0K, Core=608.3K, Boundary=(1725.5K,1743.9K)
   Step 4600: Range=1353.6K, Surface=1800.0K, Core=617.6K, Boundary=(1724.6K,1742.9K)
   Step 4700: Range=1342.2K, Surface=1800.0K, Core=627.0K, Boundary=(1723.8K,1742.0K)
   Step 4800: Range=1330.9K, Surface=1800.0K, Core=636.3K, Boundary=(1722.9K,1741.1K)
   Step 4900: Range=1319.6K, Surface=1800.0K, Core=645.7K, Boundary=(1722.2K,1740.2K)
   Step 5000: Range=1308.3K, Surface=1800.0K, Core=655.0K, Boundary=(1721.4K,1739.4K)
   Step 5100: Range=1297.0K, Surface=1800.0K, Core=664.4K, Boundary=(1720.6K,1738.6K)
   Step 5200: Range=1285.6K, Surface=1800.0K, Core=673.7K, Boundary=(1719.9K,1737.7K)
   Step 5300: Range=1274.2K, Surface=1800.0K, Core=683.0K, Boundary=(1719.2K,1737.0K)
   Step 5400: Range=1262.9K, Surface=1800.0K, Core=692.4K, Boundary=(1718.5K,1736.2K)
   Step 5500: Range=1251.6K, Surface=1800.0K, Core=701.7K, Boundary=(1717.8K,1735.4K)
   Step 5600: Range=1240.3K, Surface=1800.0K, Core=711.0K, Boundary=(1717.2K,1734.7K)
   Step 5700: Range=1229.0K, Surface=1800.0K, Core=720.4K, Boundary=(1716.5K,1733.9K)
   Step 5800: Range=1217.6K, Surface=1800.0K, Core=729.7K, Boundary=(1715.9K,1733.2K)
   Step 5900: Range=1206.2K, Surface=1800.0K, Core=739.0K, Boundary=(1715.2K,1732.5K)
   Step 6000: Range=1194.8K, Surface=1800.0K, Core=748.4K, Boundary=(1714.6K,1731.8K)
   Step 6100: Range=1183.5K, Surface=1800.0K, Core=757.7K, Boundary=(1714.0K,1731.2K)
   Step 6200: Range=1172.2K, Surface=1800.0K, Core=767.0K, Boundary=(1713.4K,1730.5K)
   Step 6300: Range=1160.9K, Surface=1800.0K, Core=776.4K, Boundary=(1712.8K,1729.8K)
   Step 6400: Range=1149.6K, Surface=1800.0K, Core=785.7K, Boundary=(1712.3K,1729.2K)
   Step 6500: Range=1138.2K, Surface=1800.0K, Core=795.0K, Boundary=(1711.7K,1728.6K)
   Step 6600: Range=1126.9K, Surface=1800.0K, Core=804.3K, Boundary=(1711.2K,1727.9K)
   Step 6700: Range=1115.5K, Surface=1800.0K, Core=813.6K, Boundary=(1710.6K,1727.3K)
   Step 6800: Range=1104.1K, Surface=1800.0K, Core=823.0K, Boundary=(1710.1K,1726.7K)
